,qseqid,sseqid,dN,dS,dN/dS
3665,Thecc1EG011444t1,Gorai.005G147700.1,0.0452,0.4066,0.1112
3666,Thecc1EG011445t1,Gorai.005G147600.1,0.0326,0.3536,0.0921
3667,Thecc1EG011446t1,Gorai.005G147500.1,0.0328,0.2982,0.1101
3668,Thecc1EG011448t1,Gorai.013G097200.1,0.0371,0.6043,0.0614
3669,Thecc1EG011453t1,Gorai.005G147400.1,0.0228,0.3041,0.0751
3670,Thecc1EG011454t1,Gorai.005G147300.1,0.042,0.3756,0.1119
3671,Thecc1EG011455t1,Gorai.009G327100.1,0.0639,0.6787,0.0941
3672,Thecc1EG046724t1,Gorai.013G097000.1,0.0661,0.5133,0.1289
3673,Thecc1EG011461t1,Gorai.001G217300.1,0.0479,0.6931,0.0691
3674,Thecc1EG011463t1,Gorai.013G096600.1,0.0597,0.6731,0.0886
3675,Thecc1EG011464t1,Gorai.013G096500.1,0.0564,0.5456,0.1035
3676,Thecc1EG011465t1,Gorai.013G096400.1,0.0955,0.7671,0.1245
3677,Thecc1EG011472t1,Gorai.012G185400.1,0.0395,0.5099,0.0775
3678,Thecc1EG011473t1,Gorai.009G327000.1,0.0384,0.6256,0.0615
3679,Thecc1EG011482t1,Gorai.005G147000.1,0.0313,0.5285,0.0592
3680,Thecc1EG011483t1,Gorai.013G095700.1,0.0364,0.3985,0.0914
3681,Thecc1EG011484t1,Gorai.005G146700.1,0.0082,0.3474,0.0235
3682,Thecc1EG011486t1,Gorai.008G175800.1,0.0462,0.2945,0.157
3683,Thecc1EG011488t1,Gorai.013G095400.1,0.041,0.4048,0.1012
3684,Thecc1EG011492t1,Gorai.008G176000.1,0.0665,0.6719,0.099
3685,Thecc1EG011500t1,Gorai.008G176100.1,0.0305,0.3382,0.0901
3686,Thecc1EG011501t1,Gorai.008G176200.1,0.0361,0.4739,0.0761
3687,Thecc1EG011507t1,Gorai.013G095100.1,0.0482,0.3676,0.1311
3688,Thecc1EG011508t1,Gorai.008G176300.1,0.0389,0.4783,0.0812
3689,Thecc1EG011510t1,Gorai.013G095000.1,0.0411,0.5397,0.0761
3690,Thecc1EG011513t1,Gorai.005G145900.1,0.0196,0.4171,0.047
3691,Thecc1EG011517t1,Gorai.008G176500.1,0.0377,0.323,0.1167
3692,Thecc1EG011519t1,Gorai.001G006200.1,0.0295,0.3832,0.077
3693,Thecc1EG011520t1,Gorai.008G176600.1,0.0292,0.385,0.0759
3694,Thecc1EG011521t1,Gorai.013G094700.1,0.055,0.6023,0.0913
3695,Thecc1EG011525t1,Gorai.008G176800.1,0.0414,0.3432,0.1208
3696,Thecc1EG011526t1,Gorai.009G326900.1,0.1342,1.0832,0.1239
3697,Thecc1EG011528t1,Gorai.008G177000.1,0.0337,0.3329,0.1012
3698,Thecc1EG011530t1,Gorai.013G094200.1,0.0173,0.3242,0.0533
3699,Thecc1EG011532t1,Gorai.008G177100.1,0.029,0.4579,0.0632
3700,Thecc1EG011534t1,Gorai.013G094000.1,0.0401,0.4245,0.0944
3701,Thecc1EG011535t1,Gorai.008G177200.1,0.0197,0.3072,0.0641
3702,Thecc1EG011541t1,Gorai.005G145300.1,0.0439,0.4789,0.0917
3703,Thecc1EG011548t1,Gorai.013G093700.1,0.0404,0.802,0.0504
3704,Thecc1EG011550t1,Gorai.008G177500.1,0.0339,0.3981,0.0851
3705,Thecc1EG011554t1,Gorai.009G326500.1,0.0456,1.1004,0.0414
3706,Thecc1EG011558t1,Gorai.005G145100.1,0.0384,0.3146,0.122
3707,Thecc1EG011559t1,Gorai.009G326400.1,0.016,0.5449,0.0293
3708,Thecc1EG011561t1,Gorai.013G093500.1,0.0194,0.3084,0.0629
3709,Thecc1EG011565t1,Gorai.008G177800.1,0.0311,0.3421,0.0909
3710,Thecc1EG011567t1,Gorai.013G093200.1,0.0217,0.2716,0.0799
3711,Thecc1EG011569t1,Gorai.013G093100.1,0.035,0.406,0.0862
3712,Thecc1EG011571t1,Gorai.013G093000.1,0.038,0.4841,0.0785
3713,Thecc1EG011575t1,Gorai.013G092500.1,0.048,0.4767,0.1007
3714,Thecc1EG011576t1,Gorai.009G326300.1,0.0539,0.6042,0.0892
3715,Thecc1EG011578t1,Gorai.013G092300.1,0.0268,0.3663,0.0731
3716,Thecc1EG011580t1,Gorai.013G092200.1,0.0354,0.3607,0.098
3717,Thecc1EG011581t1,Gorai.013G092000.1,0.0622,0.6325,0.0984
3718,Thecc1EG011582t1,Gorai.013G091900.1,0.0245,0.3794,0.0646
3719,Thecc1EG011585t1,Gorai.005G144200.1,0.0336,0.4023,0.0835
3720,Thecc1EG011588t1,Gorai.013G091700.1,0.0425,0.674,0.063
3721,Thecc1EG011589t1,Gorai.005G144000.1,0.0315,0.4361,0.0722
3722,Thecc1EG011593t1,Gorai.009G326200.1,0.0252,0.5014,0.0502
3723,Thecc1EG011600t1,Gorai.009G326100.1,0.0777,0.5484,0.1417
3724,Thecc1EG011601t1,Gorai.009G326000.1,0.0135,0.2864,0.0473
3725,Thecc1EG011602t1,Gorai.013G091200.1,0.0268,0.3749,0.0715
3726,Thecc1EG011603t1,Gorai.005G143300.1,0.0385,0.3401,0.1133
3727,Thecc1EG011604t1,Gorai.008G178400.1,0.0361,0.4126,0.0876
3728,Thecc1EG011605t1,Gorai.009G325900.1,0.044,0.3781,0.1164
3729,Thecc1EG011607t1,Gorai.005G143500.1,0.0622,0.5607,0.111
3730,Thecc1EG011608t1,Gorai.013G090800.1,0.0674,0.7921,0.0851
3731,Thecc1EG011611t1,Gorai.013G090500.1,0.0192,0.3344,0.0574
3732,Thecc1EG011619t1,Gorai.008G178200.1,0.0322,0.5486,0.0586
3733,Thecc1EG011620t1,Gorai.008G178600.1,0.0575,0.3645,0.1577
3734,Thecc1EG011622t1,Gorai.013G090300.1,0.0153,0.4953,0.0309
3735,Thecc1EG011624t1,Gorai.013G090200.1,0.0298,0.5813,0.0513
3736,Thecc1EG011625t1,Gorai.008G178800.1,0.036,0.5195,0.0693
3737,Thecc1EG011626t1,Gorai.013G090000.1,0.0252,0.3142,0.0803
3738,Thecc1EG011628t1,Gorai.005G143200.1,0.0561,0.3609,0.1553
3739,Thecc1EG011629t1,Gorai.013G089500.1,0.0281,0.4311,0.0652
3740,Thecc1EG011630t1,Gorai.009G325600.1,0.0184,0.8307,0.0222
3741,Thecc1EG011631t1,Gorai.009G325500.1,0.0154,0.4225,0.0366
3742,Thecc1EG011632t1,Gorai.008G178900.1,0.071,1.0631,0.0668
3743,Thecc1EG011633t1,Gorai.013G089300.1,0.0251,0.3352,0.075
3744,Thecc1EG011634t1,Gorai.005G143000.1,0.0762,0.6373,0.1196
3745,Thecc1EG011635t1,Gorai.008G179100.1,0.0056,0.3261,0.0171
3746,Thecc1EG011636t1,Gorai.012G186300.1,0.0094,0.308,0.0304
3747,Thecc1EG011638t1,Gorai.012G186400.1,0.024,0.5255,0.0456
3748,Thecc1EG011639t1,Gorai.008G179300.1,0.0181,0.3991,0.0453
3749,Thecc1EG011642t1,Gorai.005G142700.1,0.0244,0.2461,0.099
3750,Thecc1EG011643t1,Gorai.005G142600.1,0.0286,0.3406,0.0839
3751,Thecc1EG011645t1,Gorai.005G142500.1,0.0304,0.5349,0.0568
3752,Thecc1EG011649t1,Gorai.009G325000.1,0.0284,0.696,0.0408
3753,Thecc1EG011655t1,Gorai.001G055100.1,0.0614,0.883,0.0696
3754,Thecc1EG011656t1,Gorai.013G088600.1,0.0488,0.7075,0.0689
3755,Thecc1EG011657t1,Gorai.013G088500.1,0.0322,0.5078,0.0635
3756,Thecc1EG011665t1,Gorai.013G088000.1,0.0299,0.5341,0.0559
3757,Thecc1EG011666t1,Gorai.013G087900.1,0.0202,0.3009,0.067
3758,Thecc1EG011667t1,Gorai.013G087800.1,0.0358,0.474,0.0756
3759,Thecc1EG011668t1,Gorai.012G186600.1,0.0306,0.3563,0.086
3760,Thecc1EG011671t1,Gorai.005G142300.1,0.0322,0.4957,0.065
3761,Thecc1EG011672t1,Gorai.008G180000.1,0.0239,0.3793,0.0631
3762,Thecc1EG011674t1,Gorai.013G087300.1,0.0283,0.3491,0.081
3763,Thecc1EG011679t1,Gorai.013G087200.1,0.0217,0.3989,0.0544
3764,Thecc1EG011682t1,Gorai.013G087000.1,0.0315,0.4189,0.0752
3765,Thecc1EG011687t1,Gorai.013G086600.1,0.0258,0.3743,0.0689
3766,Thecc1EG011688t1,Gorai.010G247700.1,0.0344,0.2857,0.1203
3767,Thecc1EG011689t1,Gorai.013G086400.1,0.0233,0.3792,0.0616
3768,Thecc1EG011691t1,Gorai.012G186800.1,0.0788,1.31,0.0601
3769,Thecc1EG011693t1,Gorai.012G187000.1,0.0546,0.3016,0.1809
3770,Thecc1EG011695t1,Gorai.005G141700.1,0.0461,0.4772,0.0966
3771,Thecc1EG011696t1,Gorai.013G086200.1,0.0236,0.3828,0.0616
3772,Thecc1EG011697t1,Gorai.008G180500.1,0.0291,0.5556,0.0525
3773,Thecc1EG011698t1,Gorai.008G180600.1,0.0299,0.3258,0.0918
3774,Thecc1EG011701t1,Gorai.013G086000.1,0.03,0.3432,0.0873
3775,Thecc1EG011702t1,Gorai.013G085900.1,0.0781,0.6741,0.1158
3776,Thecc1EG011705t1,Gorai.013G085800.1,0.0353,0.5157,0.0685
3777,Thecc1EG011708t1,Gorai.013G085700.1,0.0249,0.3784,0.0657
3778,Thecc1EG011710t1,Gorai.009G324600.1,0.0357,0.3308,0.1079
3779,Thecc1EG011712t1,Gorai.005G141400.1,0.0393,0.3219,0.1221
3780,Thecc1EG011713t1,Gorai.009G324500.1,0.0537,0.4115,0.1306
3781,Thecc1EG011714t1,Gorai.005G141300.1,0.064,0.8924,0.0718
3782,Thecc1EG011718t1,Gorai.005G141200.1,0.0431,0.3946,0.1092
3783,Thecc1EG011719t1,Gorai.012G187500.1,0.0262,0.3661,0.0715
3784,Thecc1EG011720t1,Gorai.009G324300.1,0.0188,0.4295,0.0437
3785,Thecc1EG011721t1,Gorai.005G141100.1,0.0512,0.6284,0.0815
3786,Thecc1EG011734t1,Gorai.005G139800.1,0.0399,0.4373,0.0913
3787,Thecc1EG011738t1,Gorai.005G140100.1,0.0229,0.3928,0.0583
3788,Thecc1EG011741t1,Gorai.013G083900.1,0.027,0.4808,0.0562
3789,Thecc1EG011746t1,Gorai.013G084000.1,0.0358,1.4864,0.0241
3790,Thecc1EG011748t1,Gorai.005G145600.1,0.0207,0.361,0.0574
3791,Thecc1EG011749t1,Gorai.013G084100.1,0.052,0.5652,0.092
3792,Thecc1EG011750t1,Gorai.013G084200.1,0.0476,0.4363,0.109
3793,Thecc1EG011751t1,Gorai.013G084300.1,0.0226,0.8338,0.027
3794,Thecc1EG011752t1,Gorai.008G181600.1,0.0571,0.6401,0.0892
3795,Thecc1EG011754t1,Gorai.013G084600.1,0.0392,0.3805,0.103
3796,Thecc1EG011755t1,Gorai.012G187600.1,0.0068,0.3033,0.0223
3797,Thecc1EG011756t1,Gorai.008G181500.1,0.0476,0.5779,0.0824
3798,Thecc1EG011757t1,Gorai.008G181400.1,0.02,0.3393,0.0589
3799,Thecc1EG011759t1,Gorai.013G084700.1,0.0169,0.3666,0.0461
3800,Thecc1EG011763t1,Gorai.013G083700.1,0.0266,0.2982,0.0892
3801,Thecc1EG011764t1,Gorai.005G139600.1,0.0078,0.4064,0.0193
3802,Thecc1EG011773t1,Gorai.013G083000.1,0.0655,0.6163,0.1063
3803,Thecc1EG011774t1,Gorai.008G182000.1,0.0202,0.3245,0.0623
3804,Thecc1EG011775t1,Gorai.013G083200.1,0.0087,0.2853,0.0304
3805,Thecc1EG011776t1,Gorai.013G083300.1,0.027,0.3175,0.0852
3806,Thecc1EG011779t1,Gorai.013G083500.1,0.0332,0.434,0.0764
3807,Thecc1EG011786t1,Gorai.009G323500.1,0.0409,0.5899,0.0693
3808,Thecc1EG011788t1,Gorai.005G139400.1,0.0379,0.4878,0.0778
3809,Thecc1EG011790t1,Gorai.013G082500.1,0.0387,0.3451,0.1122
3810,Thecc1EG011791t1,Gorai.013G082400.1,0.0465,0.2627,0.1771
3811,Thecc1EG011792t1,Gorai.013G082300.1,0.0575,0.603,0.0953
3812,Thecc1EG011794t1,Gorai.013G077300.1,0.0178,0.4129,0.0431
3813,Thecc1EG011795t1,Gorai.013G077400.1,0.0354,0.4851,0.0729
3814,Thecc1EG011796t1,Gorai.013G077500.1,0.033,0.3988,0.0828
3815,Thecc1EG011797t1,Gorai.008G182500.1,0.0229,0.6222,0.0369
3816,Thecc1EG011798t1,Gorai.012G187800.1,0.0646,0.465,0.1389
3817,Thecc1EG011799t1,Gorai.008G182600.1,0.0333,0.3847,0.0865
3818,Thecc1EG011802t1,Gorai.013G077700.1,0.0393,0.4014,0.098
3819,Thecc1EG011803t1,Gorai.013G077800.1,0.0102,0.3537,0.029
3820,Thecc1EG011804t1,Gorai.007G094500.1,0.3587,4.1381,0.0867
3821,Thecc1EG011806t1,Gorai.013G077900.1,0.0379,0.3276,0.1158
3822,Thecc1EG011808t1,Gorai.005G139000.1,0.0396,0.3904,0.1014
3823,Thecc1EG011809t1,Gorai.008G183000.1,0.0591,0.5213,0.1133
3824,Thecc1EG011810t1,Gorai.013G078600.1,0.0321,0.4592,0.0699
3825,Thecc1EG011811t1,Gorai.008G183300.1,0.0455,0.6839,0.0665
3826,Thecc1EG011813t1,Gorai.007G368700.1,0.0238,0.4548,0.0524
3827,Thecc1EG011815t1,Gorai.008G183600.1,0.0493,1.8896,0.0261
3828,Thecc1EG011817t1,Gorai.013G076400.1,0.0421,0.7599,0.0554
3829,Thecc1EG011820t1,Gorai.005G138800.1,0.0379,0.549,0.069
3830,Thecc1EG011823t1,Gorai.013G077000.1,0.0483,0.5127,0.0941
3831,Thecc1EG011824t1,Gorai.013G077100.1,0.0095,0.3184,0.0298
3832,Thecc1EG011825t1,Gorai.005G138500.1,0.0511,0.3295,0.1552
3833,Thecc1EG011826t1,Gorai.013G082000.1,0.0384,0.4604,0.0835
3834,Thecc1EG011829t1,Gorai.013G081700.1,0.0236,0.4027,0.0586
3835,Thecc1EG011830t1,Gorai.005G138400.1,0.0562,0.5182,0.1084
3836,Thecc1EG011833t1,Gorai.013G081500.1,0.0156,0.3175,0.0491
3837,Thecc1EG011834t1,Gorai.013G081400.1,0.0488,0.4419,0.1105
3838,Thecc1EG011835t1,Gorai.005G138300.1,0.0401,0.6154,0.0651
3839,Thecc1EG011836t1,Gorai.008G184300.1,0.0465,0.6074,0.0765
3840,Thecc1EG011837t1,Gorai.008G184400.1,0.0426,0.4019,0.1059
3841,Thecc1EG011839t1,Gorai.008G184600.1,0.027,0.3991,0.0677
3842,Thecc1EG011841t1,Gorai.008G184700.1,0.0783,0.6861,0.1141
3843,Thecc1EG011843t1,Gorai.008G184800.1,0.0548,0.7137,0.0768
3844,Thecc1EG011844t1,Gorai.008G184900.1,0.0504,0.6836,0.0737
3845,Thecc1EG011845t1,Gorai.008G185000.1,0.0203,0.3364,0.0603
3846,Thecc1EG011848t1,Gorai.008G185100.1,0.0209,0.3067,0.0682
3847,Thecc1EG011849t1,Gorai.008G185200.1,0.0338,0.5264,0.0642
3848,Thecc1EG011850t1,Gorai.013G080800.1,0.0218,0.2771,0.0787
3849,Thecc1EG011853t1,Gorai.013G080400.1,0.0204,0.397,0.0513
3850,Thecc1EG011854t1,Gorai.013G080300.1,0.0152,0.2598,0.0585
3851,Thecc1EG011855t1,Gorai.008G185300.1,0.0383,0.3189,0.1201
3852,Thecc1EG011857t1,Gorai.008G185500.1,0.0192,0.3926,0.049
3853,Thecc1EG011858t1,Gorai.013G080100.1,0.0418,0.4072,0.1026
3854,Thecc1EG011859t1,Gorai.008G185600.1,0.064,0.6231,0.1028
3855,Thecc1EG011860t1,Gorai.008G185700.1,0.0205,0.3221,0.0636
3856,Thecc1EG011861t1,Gorai.008G185800.1,0.0645,0.5048,0.1277
3857,Thecc1EG011862t1,Gorai.008G185900.1,0.0128,0.4758,0.0268
3858,Thecc1EG011864t1,Gorai.005G138000.1,0.0232,0.475,0.0488
3859,Thecc1EG011866t1,Gorai.008G183200.1,0.0231,0.3751,0.0617
3860,Thecc1EG011869t1,Gorai.008G186300.1,0.0126,0.4191,0.0301
3861,Thecc1EG011870t1,Gorai.008G186500.1,0.0343,0.5533,0.0619
3862,Thecc1EG011871t1,Gorai.008G186600.1,0.0371,0.4409,0.0841
3863,Thecc1EG011872t1,Gorai.005G137800.1,0.0208,0.2166,0.0962
3864,Thecc1EG011873t1,Gorai.008G186700.1,0.0172,0.3915,0.044
3865,Thecc1EG011874t1,Gorai.008G186800.1,0.055,0.4879,0.1127
3866,Thecc1EG011876t1,Gorai.008G186900.1,0.0117,0.3219,0.0364
3867,Thecc1EG011877t1,Gorai.013G079400.1,0.0735,0.6388,0.115
3868,Thecc1EG011878t1,Gorai.005G137600.1,0.0441,0.4546,0.0971
3869,Thecc1EG011880t1,Gorai.008G187000.1,0.0302,0.2847,0.106
3870,Thecc1EG011881t1,Gorai.008G187100.1,0.0446,0.3484,0.1279
3871,Thecc1EG011882t1,Gorai.008G187200.1,0.0319,0.3505,0.0909
3872,Thecc1EG011883t1,Gorai.008G187300.1,0.0336,0.2988,0.1125
3873,Thecc1EG011884t1,Gorai.008G187400.1,0.0298,0.2803,0.1063
3874,Thecc1EG011885t1,Gorai.008G187500.1,0.0448,0.4156,0.1078
3875,Thecc1EG011886t1,Gorai.008G187600.1,0.0504,0.3239,0.1556
3876,Thecc1EG011888t1,Gorai.008G187700.1,0.0389,0.4986,0.078
3877,Thecc1EG011890t1,Gorai.013G079300.1,0.0385,0.5842,0.0659
3878,Thecc1EG011891t1,Gorai.005G137400.1,0.0309,0.2892,0.1068
3879,Thecc1EG011892t1,Gorai.008G187900.1,0.0157,0.347,0.0454
3880,Thecc1EG011893t1,Gorai.008G188000.1,0.0372,0.3932,0.0945
3881,Thecc1EG011896t1,Gorai.013G079100.1,0.0417,0.3087,0.1351
3882,Thecc1EG011897t1,Gorai.008G188200.1,0.0248,0.3755,0.066
3883,Thecc1EG011898t1,Gorai.008G188300.1,0.0614,0.4392,0.1398
3884,Thecc1EG011900t1,Gorai.008G188400.1,0.049,0.3252,0.1506
3885,Thecc1EG011901t1,Gorai.008G188500.1,0.0252,0.3466,0.0726
3886,Thecc1EG011903t1,Gorai.008G188700.1,0.0874,0.5006,0.1747
3887,Thecc1EG011904t1,Gorai.008G188800.1,0.0283,0.4349,0.065
3888,Thecc1EG011905t1,Gorai.013G078900.1,0.0341,0.4234,0.0805
3889,Thecc1EG011906t1,Gorai.008G188900.1,0.0522,0.6119,0.0853
3890,Thecc1EG011908t1,Gorai.008G189100.1,0.0356,0.361,0.0986
3891,Thecc1EG011914t1,Gorai.008G189200.1,0.025,0.3775,0.0662
3892,Thecc1EG011915t1,Gorai.005G137100.1,0.0262,0.3952,0.0662
3893,Thecc1EG011917t1,Gorai.006G186900.1,0.0373,0.3192,0.1168
3894,Thecc1EG011918t1,Gorai.008G189300.1,0.0139,0.2875,0.0485
3895,Thecc1EG011919t1,Gorai.008G189400.1,0.0446,0.4712,0.0947
3896,Thecc1EG011927t1,Gorai.010G226600.1,0.0535,0.8363,0.064
3897,Thecc1EG011942t1,Gorai.001G204600.1,0.0586,0.4152,0.1411
3898,Thecc1EG011949t1,Gorai.004G049500.1,0.0499,1.025,0.0487
3899,Thecc1EG011950t1,Gorai.N008000.1,0.032,0.3847,0.0832
3900,Thecc1EG011951t1,Gorai.008G298300.1,0.0243,0.3805,0.0637
3901,Thecc1EG011953t1,Gorai.003G071800.1,0.0349,0.416,0.0839
3902,Thecc1EG011954t1,Gorai.008G298400.1,0.0252,0.5108,0.0494
3903,Thecc1EG011955t1,Gorai.003G071900.1,0.0298,0.4061,0.0735
3904,Thecc1EG011956t1,Gorai.008G298500.1,0.0424,0.3107,0.1366
3905,Thecc1EG011957t1,Gorai.006G187300.1,0.0233,0.3501,0.0665
3906,Thecc1EG011959t1,Gorai.008G217600.1,0.0554,0.498,0.1112
3907,Thecc1EG011961t1,Gorai.012G001900.1,0.0479,0.5026,0.0954
3908,Thecc1EG011962t1,Gorai.006G187400.1,0.0185,0.5729,0.0323
3909,Thecc1EG011964t1,Gorai.004G113800.1,0.0374,0.5789,0.0645
3910,Thecc1EG011966t1,Gorai.011G255100.1,0.0077,0.4369,0.0175
3911,Thecc1EG011967t1,Gorai.010G218900.1,0.0413,0.3551,0.1163
3912,Thecc1EG011971t1,Gorai.004G114000.1,0.0352,0.4666,0.0755
3913,Thecc1EG011976t1,Gorai.001G078400.1,0.0378,0.3924,0.0962
3914,Thecc1EG011979t1,Gorai.012G002100.1,0.0325,0.4641,0.07
3915,Thecc1EG011980t1,Gorai.012G002000.1,0.0646,0.5909,0.1093
3916,Thecc1EG011984t1,Gorai.004G243400.1,0.0331,0.5621,0.0589
3917,Thecc1EG011985t1,Gorai.008G298100.1,0.0493,0.4808,0.1026
3918,Thecc1EG011986t1,Gorai.008G298000.1,0.0454,0.8089,0.0561
3919,Thecc1EG011987t1,Gorai.006G187900.1,0.013,0.306,0.0425
3920,Thecc1EG011988t1,Gorai.008G297800.1,0.0291,0.3551,0.0818
3921,Thecc1EG011989t1,Gorai.003G157800.1,0.0363,0.6004,0.0605
3922,Thecc1EG011990t1,Gorai.003G157900.1,0.0311,0.6763,0.046
3923,Thecc1EG011992t1,Gorai.008G297700.1,0.035,0.3544,0.0988
3924,Thecc1EG011998t1,Gorai.003G109900.1,0.0107,0.2707,0.0394
3925,Thecc1EG012001t1,Gorai.008G297400.1,0.0196,0.6765,0.029
3926,Thecc1EG012003t1,Gorai.008G297300.1,0.0246,0.3456,0.0713
3927,Thecc1EG012006t1,Gorai.001G070400.1,0.0257,0.446,0.0575
3928,Thecc1EG012007t1,Gorai.006G188000.1,0.0382,0.3724,0.1026
3929,Thecc1EG012012t1,Gorai.008G297100.1,0.012,0.4114,0.0292
3930,Thecc1EG012022t1,Gorai.008G296900.1,0.0439,0.4018,0.1093
3931,Thecc1EG012023t1,Gorai.006G031400.1,0.0509,0.6686,0.0761
3932,Thecc1EG012026t1,Gorai.001G070500.1,0.0412,0.3944,0.1044
3933,Thecc1EG012028t1,Gorai.006G187000.1,0.0296,0.4509,0.0656
3934,Thecc1EG012031t1,Gorai.001G068600.1,0.0402,0.3217,0.125
3935,Thecc1EG012032t1,Gorai.006G187100.1,0.0423,0.6563,0.0644
3936,Thecc1EG012037t1,Gorai.008G294300.1,0.0278,0.5511,0.0504
3937,Thecc1EG012038t1,Gorai.008G294400.1,0.0494,0.9703,0.0509
3938,Thecc1EG012039t1,Gorai.008G294500.1,0.0485,0.2502,0.194
3939,Thecc1EG012042t1,Gorai.008G294700.1,0.0184,0.4935,0.0374
3940,Thecc1EG012044t1,Gorai.005G136000.1,0.0588,0.6856,0.0858
3941,Thecc1EG012046t1,Gorai.005G136300.1,0.0489,0.6224,0.0785
3942,Thecc1EG012047t1,Gorai.007G001900.1,0.027,0.3906,0.0692
3943,Thecc1EG012048t1,Gorai.005G136200.1,0.0151,0.3087,0.049
3944,Thecc1EG012049t1,Gorai.008G294800.1,0.0222,0.331,0.0671
3945,Thecc1EG012050t1,Gorai.006G189300.1,0.0507,0.4547,0.1114
3946,Thecc1EG012052t1,Gorai.005G136700.1,0.0107,0.2986,0.0358
3947,Thecc1EG012053t1,Gorai.001G047800.1,0.0374,0.3517,0.1064
3948,Thecc1EG012054t1,Gorai.005G136900.1,0.0421,0.3563,0.1182
3949,Thecc1EG012055t1,Gorai.005G137000.1,0.0141,0.2226,0.0633
3950,Thecc1EG012069t1,Gorai.008G295200.1,0.0463,0.5094,0.0909
3951,Thecc1EG012066t1,Gorai.003G139100.1,0.0337,0.308,0.1096
3952,Thecc1EG012070t1,Gorai.006G189200.1,0.0185,0.2957,0.0624
3953,Thecc1EG012073t1,Gorai.008G295300.1,0.0522,0.7848,0.0666
3954,Thecc1EG012074t1,Gorai.006G189100.1,0.0297,0.3459,0.0859
3955,Thecc1EG012077t1,Gorai.006G188900.1,0.0264,0.4601,0.0574
3956,Thecc1EG012078t1,Gorai.008G295500.1,0.036,0.5437,0.0663
3957,Thecc1EG012079t1,Gorai.008G295400.1,0.0151,0.38,0.0398
3958,Thecc1EG012083t1,Gorai.005G135900.1,0.0218,0.2964,0.0737
3959,Thecc1EG012084t1,Gorai.008G295700.1,0.0202,0.4787,0.0423
3960,Thecc1EG012087t1,Gorai.008G295800.1,0.0447,0.7167,0.0624
3961,Thecc1EG012088t1,Gorai.001G071400.1,0.0308,0.5,0.0615
3962,Thecc1EG012091t1,Gorai.008G296000.1,0.0275,0.3502,0.0785
3963,Thecc1EG012094t1,Gorai.008G296100.1,0.039,0.5126,0.076
3964,Thecc1EG012095t1,Gorai.008G296200.1,0.0404,0.3593,0.1125
3965,Thecc1EG012096t1,Gorai.008G296300.1,0.0388,0.5243,0.0741
3966,Thecc1EG012097t1,Gorai.006G188800.1,0.024,0.2762,0.0869
3967,Thecc1EG012098t1,Gorai.001G071500.1,0.0303,0.5666,0.0535
3968,Thecc1EG012099t1,Gorai.008G296400.1,0.0367,0.4835,0.0758
3969,Thecc1EG012102t1,Gorai.008G296700.1,0.0446,0.3838,0.1162
3970,Thecc1EG012103t1,Gorai.006G188700.1,0.0158,0.419,0.0377
3971,Thecc1EG012105t1,Gorai.006G188600.1,0.0649,0.6503,0.0997
3972,Thecc1EG012106t1,Gorai.008G294200.1,0.05,0.4069,0.1228
3973,Thecc1EG012109t1,Gorai.010G138700.1,0.0335,0.3767,0.089
3974,Thecc1EG012150t1,Gorai.005G135700.1,0.0388,0.3684,0.1053
3975,Thecc1EG012151t1,Gorai.006G190000.1,0.0369,0.4019,0.0918
3976,Thecc1EG012152t1,Gorai.008G293700.1,0.0431,0.3061,0.1408
3977,Thecc1EG012153t1,Gorai.005G135600.1,0.0437,0.4024,0.1086
3978,Thecc1EG012154t1,Gorai.005G135500.1,0.0453,0.4081,0.1111
3979,Thecc1EG046732t1,Gorai.005G135400.1,0.0559,0.5368,0.1042
3980,Thecc1EG046734t1,Gorai.006G189900.1,0.0398,0.2763,0.1439
3981,Thecc1EG012158t1,Gorai.008G151600.1,0.0372,0.3952,0.094
3982,Thecc1EG012159t1,Gorai.008G293800.1,0.0312,0.4707,0.0663
3983,Thecc1EG012163t1,Gorai.008G217500.1,0.0239,0.5227,0.0458
3984,Thecc1EG012164t1,Gorai.009G267500.1,0.0524,0.4384,0.1195
3985,Thecc1EG012168t1,Gorai.007G047000.1,0.0274,0.3798,0.0722
3986,Thecc1EG012170t1,Gorai.003G116000.1,0.0122,0.3378,0.036
3987,Thecc1EG012179t1,Gorai.003G110100.1,0.0158,0.3354,0.0471
3988,Thecc1EG012180t1,Gorai.004G115500.1,0.0346,0.287,0.1204
3989,Thecc1EG012202t1,Gorai.006G189500.1,0.0301,0.472,0.0637
3990,Thecc1EG012210t1,Gorai.001G070800.1,0.0418,0.4817,0.0868
3991,Thecc1EG012211t1,Gorai.005G133700.1,0.0273,0.4731,0.0577
3992,Thecc1EG012212t1,Gorai.001G071300.1,0.0118,0.3667,0.0323
3993,Thecc1EG012213t1,Gorai.001G072300.1,0.0401,0.4783,0.0839
3994,Thecc1EG012214t1,Gorai.006G189800.1,0.0611,0.3649,0.1675
3995,Thecc1EG012217t1,Gorai.008G293900.1,0.0389,0.4506,0.0863
3996,Thecc1EG012221t1,Gorai.008G217400.1,0.0135,0.5336,0.0254
3997,Thecc1EG012222t1,Gorai.008G217300.1,0.048,0.5293,0.0907
3998,Thecc1EG012223t1,Gorai.008G217200.1,0.0197,0.3276,0.06
3999,Thecc1EG012224t1,Gorai.008G217100.1,0.0598,0.4121,0.1451
